1634570548.521239466,trash_can,6.02814,2.22101
1634570549.684992705,trash_can,6.02705,2.22171
1634570550.721840791,trash_can,6.02764,2.21765
1634570551.854218374,trash_can,6.02563,2.215
1634570552.759212575,trash_can,6.02755,2.21856
1634570553.896211563,trash_can,6.02956,2.21489
1634570554.488428304,trash_can,6.02926,2.21629
1634570555.493713185,trash_can,6.02933,2.2206
1634570556.500769461,trash_can,6.02762,2.21862
1634570557.474161520,trash_can,6.19152,2.26363
1634570558.479374342,trash_can,6.10189,2.14775
1634570558.479415044,trash_can,5.87611,2.03941
1634570559.509764666,trash_can,6.12327,2.13188
1634570559.509808067,trash_can,5.23039,1.94257
1634570559.509821857,trash_can,5.79798,1.98038
1634570559.509834850,trash_can,5.54303,2.01416
1634570560.502942503,trash_can,5.71671,2.43485
1634570560.503008039,trash_can,4.61691,2.26586
1634570560.503021633,trash_can,5.06339,2.33867
1634570560.503033621,trash_can,5.29164,2.32453
1634570561.449500187,trash_can,5.76465,2.2775
1634570561.449546631,trash_can,5.3744,2.5276
1634570561.449575799,trash_can,6.06711,2.26818
1634570561.449588725,trash_can,5.92333,2.27225
1634570561.449600226,trash_can,6.00747,2.35379
1634570606.556176519,fire_hydrant,7.99418,8.17235
1634570607.547475485,fire_hydrant,7.61918,8.13699
1634570608.463317017,fire_hydrant,7.66446,8.3126
1634570609.572396980,fire_hydrant,7.46682,8.36576
1634570610.319054644,fire_hydrant,7.73756,8.61383
1634570611.411384783,fire_hydrant,7.69132,8.64576
1634570612.404433754,fire_hydrant,7.61886,8.66386
1634570613.610298083,fire_hydrant,7.52235,8.75059
1634570614.361676219,fire_hydrant,7.53098,8.79711
1634570615.414324376,fire_hydrant,7.61614,8.7376
1634570629.454509614,trash_can,6.43495,16.9514
1634570630.512812723,trash_can,5.85292,16.904
1634570631.419754068,trash_can,6.0939,16.8516
1634570632.386095469,trash_can,6.27288,17.0692
1634570632.387348591,kitchenette_icon,6.22909,15.2527
1634570633.438029337,trash_can,6.28981,17.2289
1634570633.444130677,kitchenette_icon,5.08053,16.8145
1634570634.667019124,trash_can,6.44267,17.2018
1634570634.669058601,kitchenette_icon,5.22556,16.9621
1634570635.660333611,trash_can,6.42428,17.2459
1634570635.660379497,kitchenette_icon,5.11087,17.109
1634570636.674856238,trash_can,6.28281,17.3305
